parent_award_id,award_id_piid,Work
2031JW18P00016,2031JW18P00016,All Other Contracts Under $2M Annually
2031JW18P00043,2031JW18P00043,All Other Contracts Under $2M Annually
2031ZA17C00080,2031ZA17C00080,All Other Contracts Under $2M Annually
2032H318C00010,2032H318C00010,Internal Control and Oversight Support
2032H518C00036,2032H518C00036,"Project Planning, Investment, and Governance (PPI-GOV) Program Support "
2032H518C00045,2032H518C00045,All Other Contracts Under $2M Annually
2032H518C00056,2032H518C00056,All Other Contracts Under $2M Annually
2032H518C00065,2032H518C00065,All Other Contracts Under $2M Annually
2032H518C00072,2032H518C00072,Corporate Data Domain Data Services IT Support
2032H518C00082,2032H518C00082,All Other Contracts Under $2M Annually
2032H518C00091,2032H518C00091,All Other Contracts Under $2M Annually
2032H518C00110,2032H518C00110,Intranet SharePoint Rebuild
2032H518D00007,2032H518F00105,Large Case Tax Engine Audit BPA
2032H518D00019,2032H518F00916,All Other Contracts Under $2M Annually
2032H518D00023,2032H518D00023,All Other Contracts Under $2M Annually
2032H518P00013,2032H518P00013,All Other Contracts Under $2M Annually
2032H518P00023,2032H518P00023,All Other Contracts Under $2M Annually
2032H518P00141,2032H518P00141,All Other Contracts Under $2M Annually
2032H518P00184,2032H518P00184,All Other Contracts Under $2M Annually
2032H518P00209,2032H518P00209,Unknown Insysco Contract
2032H518P00214,2032H518P00214,All Other Contracts Under $2M Annually
2032H518P00223,2032H518P00223,All Other Contracts Under $2M Annually
2032H518P00224,2032H518P00224,All Other Contracts Under $2M Annually
2032H518P00240,2032H518P00240,All Other Contracts Under $2M Annually
2032H518P00248,2032H518P00248,All Other Contracts Under $2M Annually
2032H518P00263,2032H518P00263,All Other Contracts Under $2M Annually
2032H518P00276,2032H518P00276,All Other Contracts Under $2M Annually
2032H518P00294,2032H518P00294,All Other Contracts Under $2M Annually
2032H518P00300,2032H518P00300,All Other Contracts Under $2M Annually
2032H518P00318,2032H518P00318,All Other Contracts Under $2M Annually
2032H518P00327,2032H518P00327,All Other Contracts Under $2M Annually
2032H518P00329,2032H518P00329,All Other Contracts Under $2M Annually
2032H518P00337,2032H518P00337,COBOL Tax Reform
2032H518P00348,2032H518P00348,All Other Contracts Under $2M Annually
2032H518P00352,2032H518P00352,All Other Contracts Under $2M Annually
2032H518P00383,2032H518P00383,All Other Contracts Under $2M Annually
2032H518P00389,2032H518P00389,All Other Contracts Under $2M Annually
2032H518P00392,2032H518P00392,Agent-Based Vulnerability Scanning and Integration Support Services
2032H518P00393,2032H518P00393,All Other Contracts Under $2M Annually
2032H518P00401,2032H518P00401,Support Services for IT Security Implmentation (ITSI)
2032H818C00026,2032H818C00026,All Other Contracts Under $2M Annually
2032H818C00036,2032H818C00036,All Other Contracts Under $2M Annually
2032H818P00179,2032H818P00179,All Other Contracts Under $2M Annually
2032H818P00256,2032H818P00256,ADP Consulting Under RAAS BPA
2032H818P00286,2032H818P00286,All Other Contracts Under $2M Annually
2032K718C00001,2032K718C00001,All Other Contracts Under $2M Annually
2033H618A00003,2033H618F00190,All Other Contracts Under $2M Annually
2033H618A00008,2033H618F00278,Operations and Maintenance Support Services for the PACER Application System
2033H618C00012,2033H618C00012,All Other Contracts Under $2M Annually
