award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,total_loan_value,action_date,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_parent_name,recipient_parent_duns,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,last_modified_date
17VITA0188,01,,SAI EXEMPT,30000.00,50196.00,80196,,,,,2018-02-05,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,168435030,UNITED WAY BREVARD COUNTY,,,USA,UNITED STATES,937 DIXON BLVD,,13150,COCOA,009,BREVARD,FL,FLORIDA,32922,6806,08,,,,USA,UNITED STATES,FL**009,,009,BREVARD,FLORIDA,,08,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),VITA TAX ASSISTANCE: FINANCIAL INITIATIVES PROGRAM,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-07-10 19:13:55.115
17VITA0208,02,,SAI EXEMPT,-2739.01,,-2739.01,,,,,2018-09-27,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020504411,UNITED WAY OF SAN DIEGO COUNTY,,,USA,UNITED STATES,4699 MURPHY CANYON RD,,66000,SAN DIEGO,073,SAN DIEGO,CA,CALIFORNIA,92123,4320,52,,,,USA,UNITED STATES,CA**073,,073,SAN DIEGO,CALIFORNIA,,52,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),THE SAN DIEGO EITC COALITION,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.415642
171FA021492-G,0000,171FA021492-G,SAI EXEMPT,504188.00,,504188.00,0.00,,,,2017-09-21,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,959346487,NORTHCOUNTRY COOPERATIVE DEVELOPMENT FUND,,,USA,UNITED STATES,2600 E FRANKLIN AVE #2,,43000,MINNEAPOLIS                 ,053,HENNEPIN,MN,MINNESOTA,55406,1172,05,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.020,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS PROGRAM,04,,FINANCIAL ASSISTANCE AWARD,NON,,X,,,,A,,2,,2017-10-06 20:30:28.563451
17VITA0285,02,,SAI EXEMPT,-15430.70,,-15430.7,,,,,2018-09-28,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,082093063,EAST CENTRAL IL COMMUNITY ACTION AGENCY,EAST CENTRAL IL COMMUNITY ACTION AGENCY,082093063,USA,UNITED STATES,56 N VERMILION ST,,18563,DANVILLE,183,VERMILION,IL,ILLINOIS,61832,5802,15,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),VERMILION COALITION VITA TAX ASSISTANCE PROGRAM,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.169254
171FA021492-L,0000,171FA021492-L,SAI EXEMPT,0.00,,0,272312.00,31399.00,31399.00,272312.00,2017-09-21,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,959346487,NORTHCOUNTRY COOPERATIVE DEVELOPMENT FUND,,,USA,UNITED STATES,2600 E FRANKLIN AVE #2,,43000,MINNEAPOLIS                 ,053,HENNEPIN,MN,MINNESOTA,55406,1172,05,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.020,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS PROGRAM,07,,FINANCIAL ASSISTANCE AWARD,NON,,X,,,,A,,2,,2017-10-06 20:30:23.602324
17VITA0159,02,,SAI EXEMPT,-17893.60,,-17893.6,,,,,2018-09-28,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,149403409,ARKANSAS COMMUNITY INSTITUTE,,,USA,UNITED STATES,2101 S MAIN ST,,41000,LITTLE ROCK,119,PULASKI,AR,ARKANSAS,72206,1527,02,,,,USA,UNITED STATES,AR*****,,,,ARKANSAS,,02,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),ARKANSAS EITC AND ASSET BUILDING PROJECT,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.551872
17VITA0230,03,,SAI EXEMPT,-9929.00,,-9929,,,,,2018-09-27,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,030175194,MENOMINEE INDIAN TRIBE OF WISCONSIN,MENOMINEE INDIAN TRIBE OF WISCONSIN,030175194,USA,UNITED STATES,W 2908 TRIBAL OFFICE LOOP RD,,39250,KESHENA,078,MENOMINEE,WI,WISCONSIN,54135,0910,08,,,,USA,UNITED STATES,WI**078,,078,MENOMINEE,WISCONSIN,,08,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),MENOMINEE INDIAN TRIBE OF WISCONSIN VITA PROGRAM,NON,NOT RECOVERY ACT,I,INDIAN/NATIVE AMERICAN TRIBAL GOVERNMENT (FEDERALLY-RECOGNIZED),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.345149
17VITA0060,02,,SAI EXEMPT,-3315.00,,-3315,,,,,2018-09-26,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,176041101,"VENTURA, COUNTY OF",COUNTY OF VENTURA,066691122,USA,UNITED STATES,855 PARTRIDGE DR,,82282,VENTURA,111,VENTURA,CA,CALIFORNIA,93003,5405,26,,,,USA,UNITED STATES,CA**111,,111,VENTURA,CALIFORNIA,,26,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),VITA TAX ASSISTANCE,NON,NOT RECOVERY ACT,B,COUNTY GOVERNMENT,,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.785123
17VITA0027,02,,SAI EXEMPT,-6287.05,,-6287.05,,,,,2018-09-28,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,064962236,TULSA AREA UNITED WAY,,,USA,UNITED STATES,1430 S BOULDER AVE,,75000,TULSA,143,TULSA,OK,OKLAHOMA,74119,3604,01,,,,USA,UNITED STATES,OK*****,,,,OKLAHOMA,,01,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),VITA TAX ASSISTANCE PROGRAM,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.954757
17VITA0202,03,,SAI EXEMPT,-6549.43,,-6549.43,,,,,2018-09-25,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,158274779,"RURAL DYNAMICS, INC.","GREENPATH, INC.",072773500,USA,UNITED STATES,2022 CENTRAL AVE,,32800,GREAT FALLS,013,CASCADE,MT,MONTANA,59401,3909,00,,,,USA,UNITED STATES,MT*****,,,,MONTANA,,00,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),RDI DOES FREE TAX PREPARATIION AND FILING TO RESIDENTS ACROSS THE STATE OF MONTANA WITH PARTICULAR EMPHASIS ON LOW-INCOME FAMILIES AND NATIVE AMERICANS.,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.454077
