subaward_number,prime_award_piid,prime_award_parent_piid,subaward_amount,subaward_action_date,subaward_report_year,subaward_report_month,prime_awarding_agency_code,prime_awarding_agency_name,prime_awarding_sub_agency_code,prime_awarding_sub_agency_name,prime_awarding_office_code,prime_awarding_office_name,prime_award_principal_place_city,prime_award_principal_place_state,prime_award_principal_place_zip,prime_award_principal_place_country,prime_awardee_duns,prime_awardee_name,prime_award_date_signed,prime_award_amount,subawardee_duns,subawardee_name,subawardee_dba_name,subawardee_parent_duns,subawardee_parent_name,subawardee_address_line_1,subawardee_city_name,subawardee_state_code,subawardee_state_name,subawardee_zip_4,subawardee_congressional_district,subawardee_country_code,subawardee_country_name,subawardee_foreign_postal_code,subaward_primary_place_of_performance_address_line_1,subaward_primary_place_of_performance_city_name,subaward_primary_place_of_performance_state_code,subaward_primary_place_of_performance_state_name,subaward_primary_place_of_performance_address_zip_4,subaward_primary_place_of_performance_congressional_district,subaward_primary_place_of_performance_country_code,subaward_primary_place_of_performance_country_name,subaward_description,subaward_naics_code,subaward_naics_description,subawardee_business_type_code,subawardee_business_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount
7500149614,TIRNO11D000270014,TIRNO11D00027,15490856.00,2016-12-29,2018,5,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061320,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2014-09-18,78171619.75,806295817,STRATEGIC TECHNOLOGY PARTNERS LLC,STP,,,3033 WILSON BLVD. SUITE 700,ARLINGTON,VA,VIRGINIA,222013868,08,USA,UNITED STATES,,,ARLINGTON,VA,VIRGINIA,222013868,08,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",,,,,,,,,,
7500149614,TIRNO11D000270014,TIRNO11D00027,16232730.00,2016-12-29,2018,8,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061320,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2014-09-18,78171619.75,806295817,STRATEGIC TECHNOLOGY PARTNERS LLC,STP,,,3033 WILSON BLVD. SUITE 700,ARLINGTON,VA,VIRGINIA,222013868,08,USA,UNITED STATES,,,ARLINGTON,VA,VIRGINIA,222013868,08,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",,,,,,,,,,
7500148422,TIRNO11D000270011,TIRNO11D00027,6537051.00,2016-12-29,2018,9,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061348,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2013-09-19,54695339.94,143737729,"TIVERITY CONSULTING, INC.",,,,275 SCIENTIFIC DR STE 2800,NORCROSS,GA,GEORGIA,300923311,07,USA,UNITED STATES,,,SUWANEE,GA,GEORGIA,300923311,07,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,S CORPORATION",,,,,,,,,,
7500149614,TIRNO11D000270014,TIRNO11D00027,15490856.00,2016-12-29,2018,6,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061320,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2014-09-18,78171619.75,806295817,STRATEGIC TECHNOLOGY PARTNERS LLC,STP,,,3033 WILSON BLVD. SUITE 700,ARLINGTON,VA,VIRGINIA,222013868,08,USA,UNITED STATES,,,ARLINGTON,VA,VIRGINIA,222013868,08,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",,,,,,,,,,
7500148422,TIRNO11D000270011,TIRNO11D00027,6085982.00,2016-12-29,2018,7,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061348,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2013-09-19,54695339.94,143737729,"TIVERITY CONSULTING, INC.",,,,275 SCIENTIFIC DR STE 2800,NORCROSS,GA,GEORGIA,300923311,07,USA,UNITED STATES,,,NORCROSS,GA,GEORGIA,300923311,07,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,S CORPORATION",,,,,,,,,,
7500148422,TIRNO11D000270011,TIRNO11D00027,6280414.00,2016-12-29,2018,8,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061348,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2013-09-19,54695339.94,143737729,"TIVERITY CONSULTING, INC.",,,,275 SCIENTIFIC DR STE 2800,NORCROSS,GA,GEORGIA,300923311,07,USA,UNITED STATES,,,NORCROSS,GA,GEORGIA,300923311,07,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,S CORPORATION",,,,,,,,,,
7500148422,TIRNO11D000270011,TIRNO11D00027,5794849.00,2016-12-29,2018,6,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061348,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2013-09-19,54695339.94,143737729,"TIVERITY CONSULTING, INC.",,,,275 SCIENTIFIC DR STE 2800,NORCROSS,GA,GEORGIA,300923311,07,USA,UNITED STATES,,,NORCROSS,GA,GEORGIA,300923311,07,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,S CORPORATION",,,,,,,,,,
7500148422,TIRNO11D000270011,TIRNO11D00027,5792707.00,2016-12-29,2018,5,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061348,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2013-09-19,54695339.94,143737729,"TIVERITY CONSULTING, INC.",,,,275 SCIENTIFIC DR STE 2800,NORCROSS,GA,GEORGIA,300923311,07,USA,UNITED STATES,,,NORCROSS,GA,GEORGIA,300923311,07,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,S CORPORATION",,,,,,,,,,
7500149614,TIRNO11D000270014,TIRNO11D00027,15490856.00,2016-12-29,2018,7,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061320,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2014-09-18,78171619.75,806295817,STRATEGIC TECHNOLOGY PARTNERS LLC,STP,,,3033 WILSON BLVD. SUITE 700,ARLINGTON,VA,VIRGINIA,222013868,08,USA,UNITED STATES,,,ARLINGTON,VA,VIRGINIA,222013868,08,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",,,,,,,,,,
7500149566,TIRNO11D000270014,TIRNO11D00027,5172079.00,2016-12-29,2018,5,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061320,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2014-09-18,78171619.75,809035954,JAYTECH CORPORATION,,,,12020 SUNRISE VALLEY DR STE 100,RESTON,VA,VIRGINIA,201913429,08,USA,UNITED STATES,,,RESTON,VA,VIRGINIA,201913429,08,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,MINORITY-OWNED BUSINESS,S CORPORATION,SUBCONTINENT ASIAN (ASIAN-INDIAN) AMERICAN OWNED,WOMAN-OWNED BUSINESS",,,,,,,,,,
7500149566,TIRNO11D000270014,TIRNO11D00027,5172079.00,2016-12-29,2018,6,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061320,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2014-09-18,78171619.75,809035954,JAYTECH CORPORATION,,,,12020 SUNRISE VALLEY DR STE 100,RESTON,VA,VIRGINIA,201913429,08,USA,UNITED STATES,,,RESTON,VA,VIRGINIA,201913429,08,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,MINORITY-OWNED BUSINESS,S CORPORATION,SUBCONTINENT ASIAN (ASIAN-INDIAN) AMERICAN OWNED,WOMAN-OWNED BUSINESS",,,,,,,,,,
7500149610,TIRNO11D000270014,TIRNO11D00027,5521772.00,2016-12-29,2018,7,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061320,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2014-09-18,78171619.75,125069489,EMC CORPORATION,,601839660,DELL TECHNOLOGIES INC.,8444 WESTPARK DR STE 100,MC LEAN,VA,VIRGINIA,221025122,08,USA,UNITED STATES,,,MC LEAN,VA,VIRGINIA,221025124,08,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,MANUFACTURER OF GOODS",,,,,,,,,,
7500149610,TIRNO11D000270014,TIRNO11D00027,5521772.00,2016-12-29,2018,8,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061320,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2014-09-18,78171619.75,125069489,EMC CORPORATION,,601839660,DELL TECHNOLOGIES INC.,8444 WESTPARK DR STE 100,MC LEAN,VA,VIRGINIA,221025122,08,USA,UNITED STATES,,,MC LEAN,VA,VIRGINIA,221025124,08,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,MANUFACTURER OF GOODS",,,,,,,,,,
7500013395,TIRNO11D000410021,TIRNO11D00041,3830821.00,2016-10-07,2016,10,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,RESTON,VA,201905658,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2015-03-27,109341112.85,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,,222092443,08,USA,UNITED STATES,TRIPWIRE ENTERPRISE CONSOLE - MYSQL -,541512,COMPUTER SYSTEMS DESIGN SERVICES,,"CONTRACTS AND GRANTS,FOR-PROFIT ORGANIZATION",,,,,,,,,,
7500149610,TIRNO11D000270014,TIRNO11D00027,4438535.00,2016-12-29,2018,6,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061320,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2014-09-18,78171619.75,125069489,EMC CORPORATION,,601839660,DELL TECHNOLOGIES INC.,8444 WESTPARK DR STE 100,MC LEAN,VA,VIRGINIA,221025122,08,USA,UNITED STATES,,,MC LEAN,VA,VIRGINIA,221025124,08,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,MANUFACTURER OF GOODS",,,,,,,,,,
7500149610,TIRNO11D000270014,TIRNO11D00027,4438535.00,2016-12-29,2018,5,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061320,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2014-09-18,78171619.75,125069489,EMC CORPORATION,,601839660,DELL TECHNOLOGIES INC.,8444 WESTPARK DR STE 100,MC LEAN,VA,VIRGINIA,221025122,08,USA,UNITED STATES,,,MC LEAN,VA,VIRGINIA,221025124,08,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,MANUFACTURER OF GOODS",,,,,,,,,,
